USERNAME,RANK,RATING,MAX RATING,TWITTER HANDLE,COUNTRY
Doju,365th,2366,2485, , Republic of Korea
choikiwon,366th,2363,2403, , Japan
bogdan10bos,367th,2360,2396, , Romania
abeker,368th,2359,2359, , Croatia
creatnx,368th,2359,2457, , Viet Nam
nigus,368th,2359,2381, , Sweden
fwm94,371st,2358,2465, , China
core_wsy700,372nd,2357,2357, , China
SHENZHEBEI,372nd,2357,2549, , China
platypus,374th,2356,2404,platypus999, Japan
AngusRitossa,375th,2355,2384, , Australia
shadowatyy,376th,2352,2352, , Poland
staka,376th,2352,2352, , Japan
tncks0121,376th,2352,2402, , Republic of Korea
cogito,379th,2348,2357, , China
t0urist,380th,2347,2347, , China
Cerberus97,381st,2342,2351, , India
yosss,382nd,2341,2399,yos1up, Japan
hamayanhamayan,383rd,2340,2360,hamayanhamayan0, Japan
zhongzihao,384th,2339,2349, , China
Andreikkaa,384th,2339,2339, , Russia
sokian,386th,2337,2337, , Russia
irkstepanov,386th,2337,2393, , Russia
nikutto,388th,2335,2354,nikutto_, Japan
ShadowLight,389th,2334,2334, , Russia
kyuridenamida,389th,2334,2401,kyuridenamida, Japan
ZhusongLi,391st,2331,2342, , China
negativeb,391st,2331,2331, , United States of America
j_gui0121,391st,2331,2359,nola_suz, Japan
Akigeor,394th,2330,2330, , China
Andrei1998,394th,2330,2434, , Romania
LiTi,396th,2328,2352, , Iran
iehn,396th,2328,2328,arimasenu, Japan
dario2994,396th,2328,2328, , Italy
melnyk,399th,2327,2524, , Ukraine
TimonKnigge,400th,2326,2383, , Netherlands
boba5551,400th,2326,2326, , Serbia
Warden,402nd,2325,2325,xjlinyueru, China
cliu568,403rd,2324,2324, , United States of America
SD_le,403rd,2324,2324, , China
satos,405th,2323,2369,satos___jp, Japan
cuiaoxiang,406th,2322,2339, , China
sahilgrover,406th,2322,2340, , India
ichyo,408th,2321,2528,ichyo, Japan
jufusong,409th,2320,2320, , China
Frost,410th,2319,2319, , China
Magolor,410th,2319,2356, , China
tmwilliamlin168,412nd,2317,2317, , Taiwan
rembocoder,413rd,2316,2316, , Russia
goodqt,413rd,2316,2370, , China
ifsmirnov,415th,2314,2369, , Russia
MathCrusader,416th,2312,2465, , Australia
tossy,416th,2312,2373,310Tossy, Japan
Ra16bit,418th,2309,2309, , Belarus
Kazami,418th,2309,2309, , China
Hoi_koro,420th,2308,2400,Hoi_koroo, Japan
BaKIn,421st,2307,2307, , Georgia
mister,421st,2307,2307, , Singapore
hasi,421st,2307,2401,hasi_t, Japan
tanzaku,424th,2306,2459, , Japan
eudanip,425th,2305,2305, , Romania
Sa1378,426th,2303,2303, , Iran
Fop_zz,427th,2302,2302, , China
cdkrot,428th,2300,2335, , Russia
amylase,429th,2299,2363,pepsin_amylase, Japan
djq_cpp,430th,2298,2298, , China
imaxblue,430th,2298,2298, , Canada
arsijo,430th,2298,2298, , Ukraine
x0000ai,433rd,2297,2378, , Republic of Korea
Xylofo,433rd,2297,2297, , Sweden
ngochai,435th,2295,2406, , Viet Nam
Vegetable,436th,2294,2294, , China
microtony,437th,2292,2376, , Hong Kong
andrewzta,438th,2290,2290, , Russia
darry140,439th,2288,2288, , Taiwan
ffao,439th,2288,2288, , Brazil
jacobtpl,441st,2283,2283, , Singapore
mtsd,441st,2283,2328, , Japan
supy,443rd,2282,2305, , China
matrix,444th,2281,2281, , Iran
Elshiko,444th,2281,2281, , Russia
gazelle,446th,2280,2280,gzlcp, Japan
zhouzhendong,447th,2279,2279, , China
ljt12138,447th,2279,2285,ljt12138, China
dohatsutsu,447th,2279,2465,dohatsutsu, Japan
mulgokizary,450th,2278,2278, , Republic of Korea
zoomswk,450th,2278,2278, , Thailand
Ivlleiooq,452nd,2277,2312, , China
skyline,453rd,2275,2275, , China
dj3500,454th,2272,2291, , Poland
piroz95,454th,2272,2440,p_shiki37, Japan
netman,456th,2271,2370, , Belarus
Akbari,457th,2269,2269, , Iran
radoslav11,457th,2269,2288, , Bulgaria
liouzhou_101,459th,2268,2268, , China
ztzshiwo,460th,2267,2267, , China
teomrn,461st,2266,2266, , Romania
stdcall,461st,2266,2282, , China
noname512,463rd,2264,2264, , China
eha,464th,2263,2270, , Japan
Jatana,465th,2260,2260, , Russia
bekzhan29,465th,2260,2260, , Kazakhstan
EmanuelNrx,467th,2256,2260, , Romania
DOFYPXY,468th,2254,2254, , China
gchebanov,468th,2254,2254, , Russia
akouryy,470th,2253,2433,pyonpyonable, Japan
FoolMike,471st,2252,2252, , China
den,472nd,2250,2250, , Russia
akovski,472nd,2250,2250,akov1001, China
kusano,472nd,2250,2306,kusano_k, Japan
zltttjm,475th,2249,2249, , China
takamoto,476th,2248,2269,takamoto_u, Japan
Hezhu,477th,2243,2243, , China
SYury,478th,2242,2267, , Russia
sankear,479th,2239,2239, , Russia
woqja125,480th,2235,2256, , Republic of Korea
adamant,481st,2234,2234, , Ukraine
functionx,482nd,2233,2233, , Republic of Korea
TankEngineer,483rd,2232,2232,, China
noshi91,484th,2230,2268, , Japan
Filyan,484th,2230,2271, , Russia
koyumeishi,484th,2230,2270,koyumeishi_, Japan
smss,487th,2229,2336, , Iran
scpointer,487th,2229,2229, , China
LiChenKoh,489th,2227,2227, , Singapore
mrMaster,490th,2226,2261, , Iran
